f1,f2
0.000000000000000000e+00,1.003764029196855700e+00
7.794013856324160695e-03,9.160582388458360370e-01
1.697508257875681575e-02,8.789935650297169278e-01
2.638823265282407016e-02,8.421141941935758046e-01
3.305160349446810419e-02,8.248735057382996505e-01
4.243494751146260208e-02,7.992267534838951581e-01
5.072206104074922228e-02,7.841565461909123513e-01
5.728126757602116509e-02,7.707645009056917074e-01
6.587135373380499648e-02,7.488127711040464263e-01
7.339627068013432343e-02,7.348873421598495215e-01
8.094101007270891601e-02,7.210707950272742250e-01
8.650597838876805667e-02,7.100755118738272254e-01
9.582586388880140471e-02,6.956302857993881261e-01
1.030586372731456812e-01,6.829964271283658350e-01
1.103371968545489440e-01,6.729858140569452418e-01
1.169955207913332962e-01,6.648701806475931786e-01
1.252392463903736763e-01,6.533037566930952611e-01
1.318423717024992392e-01,6.411262519980793773e-01
1.391025380389194210e-01,6.318992348520645619e-01
1.469514585119712780e-01,6.219573836108019949e-01
1.546728736157875206e-01,6.087171713638204196e-01
1.621756105057781394e-01,6.055392777491321876e-01
1.679549284109812524e-01,5.929728735634125503e-01
1.767917037148178105e-01,5.863130985803398643e-01
1.840414258709558160e-01,5.751401214742779544e-01
1.900030134513998603e-01,5.661202369689442015e-01
1.980440407015395254e-01,5.574908238383328163e-01
2.050825258640842086e-01,5.504504152587256227e-01
2.120046514119589831e-01,5.422534502015541324e-01
2.211982192543139047e-01,5.316230300411675103e-01
2.275648918540716936e-01,5.251941825174122336e-01
2.349520218423464535e-01,5.171334087643201238e-01
2.427232819292166333e-01,5.093483220940414613e-01
2.504493925737001359e-01,5.025105323251525258e-01
2.578182693700171169e-01,4.939522796420064976e-01
2.654246717144207457e-01,4.873768565160169208e-01
2.736753267978364046e-01,4.788209563689456161e-01
2.814172436106143760e-01,4.720070756098652121e-01
2.884886706505757625e-01,4.654042648056638809e-01
2.966246157116214088e-01,4.568041419748283816e-01
3.046035299664664464e-01,4.500173637863852383e-01
3.123881908189500844e-01,4.424493823764049094e-01
3.195723917971393657e-01,4.358950437860723004e-01
3.292499891447506211e-01,4.286427045599893737e-01
3.359218057043106831e-01,4.216819912185966746e-01
3.453890559706530583e-01,4.153594991511094792e-01
3.516081865499582904e-01,4.079149499233531984e-01
3.611216951845670486e-01,4.006310698209839538e-01
3.690614222550462342e-01,3.932978693872094533e-01
3.778828244734988573e-01,3.860162257088620152e-01
3.856370893161335522e-01,3.795738458969482587e-01
3.962203996630428438e-01,3.709329748909314661e-01
4.030284171985953900e-01,3.658777355674370790e-01
4.117069047423242423e-01,3.589049491513307544e-01
4.221082861614289250e-01,3.510376635040323712e-01
4.305495645918832048e-01,3.450193840991620520e-01
4.393408658342605744e-01,3.382965680895977933e-01
4.497385902277205583e-01,3.307964056871342540e-01
4.567790532763209010e-01,3.245525625448544838e-01
4.678015662757116777e-01,3.182497095629323036e-01
4.758873926225316575e-01,3.103914783492099372e-01
4.858351334216006734e-01,3.035026254517664834e-01
4.963849416187602337e-01,2.964572727989953083e-01
5.054617895958005702e-01,2.896916369033868954e-01
5.147463047662563795e-01,2.831021512222141601e-01
5.261518688351279893e-01,2.758843608562269734e-01
5.361725489866363548e-01,2.688079616515785530e-01
5.483546583809220110e-01,2.610556584607511277e-01
5.579589488210676684e-01,2.546979503755391061e-01
5.691546985780636669e-01,2.481591802395081703e-01
5.803949919868953700e-01,2.405831742521051531e-01
5.902751429485075807e-01,2.324537930020369736e-01
6.010156614387779372e-01,2.259233486635526533e-01
6.125871948605913220e-01,2.195518872098419783e-01
6.242880317040141458e-01,2.111740949658666155e-01
6.362509264693640976e-01,2.038042274568694079e-01
6.480049174389110878e-01,1.963954937486853680e-01
6.602759149122257032e-01,1.885838154104938769e-01
6.739933601962078136e-01,1.802847427064405428e-01
6.845028375103209273e-01,1.741168835450422336e-01
6.987093013516081363e-01,1.663447525218845480e-01
7.106831284433450246e-01,1.581488482426992304e-01
7.249199124657841331e-01,1.501283391861022443e-01
7.386148670668251093e-01,1.418074103202802416e-01
7.505891445853130062e-01,1.343564120823608765e-01
7.683016954583232749e-01,1.241339857185879414e-01
7.805764656543714430e-01,1.186246691019720717e-01
7.977412003262178697e-01,1.101333327501395343e-01
8.094725678915229983e-01,1.011751910729712378e-01
8.267522357973742242e-01,9.230152960177420707e-02
8.404511025940046842e-01,8.388938330118128617e-02
8.582385848278512031e-01,7.465570640644611511e-02
8.739443274440282794e-01,6.577470614928553061e-02
8.889196968922310482e-01,5.781388000030490693e-02
9.124979219872935143e-01,4.594105371290421042e-02
9.264510728949088003e-01,3.851636152675790709e-02
9.435699087355933212e-01,2.992252550702809849e-02
9.670147292406654493e-01,1.800638972509258431e-02
9.862229137199064466e-01,1.005548393711163703e-02
1.000000000000000000e+00,2.350425692931877629e-04
