f1,f2
0.000000000000000000e+00,1.000000000000000000e+00
9.206197300410130097e-03,9.044304123389326211e-01
1.766565754271653618e-02,8.672885465817178341e-01
2.603253902289340976e-02,8.388895670142818561e-01
3.369683974478003552e-02,8.164832257855657582e-01
4.233027359711220156e-02,7.943630316768272026e-01
5.008432698005566702e-02,7.764766056203499245e-01
5.776583027913677337e-02,7.598195711018177478e-01
6.537538642903496788e-02,7.444586241807743532e-01
7.293285843989465167e-02,7.300961027005263837e-01
8.035421753200515382e-02,7.175428469235680673e-01
8.756552279887876156e-02,7.042659635701197240e-01
9.462723233897832320e-02,6.924947202042511796e-01
1.027619736346532531e-01,6.794690914621014377e-01
1.093893983360335609e-01,6.700981648248206524e-01
1.175062806909156210e-01,6.580723389050833205e-01
1.242897166757006427e-01,6.477266324550599030e-01
1.315165738013196195e-01,6.379417952970974914e-01
1.390924107107418262e-01,6.271971501825172046e-01
1.465724832858694981e-01,6.177769444696654677e-01
1.536217320901217542e-01,6.085001950298727369e-01
1.613075591426880173e-01,5.989451259309589437e-01
1.683077642977545696e-01,5.903178066430669890e-01
1.758171396552697940e-01,5.809430059062838936e-01
1.830868694105969585e-01,5.723929243564088720e-01
1.904458193169847602e-01,5.638227919004897837e-01
1.977373923290935143e-01,5.555189851680129021e-01
2.054734466174388818e-01,5.477105994052187121e-01
2.124475918897425208e-01,5.393167180604429012e-01
2.196690054545252513e-01,5.315410832042031242e-01
2.270791496947482946e-01,5.235978138973533813e-01
2.348334349147025157e-01,5.157422460814650167e-01
2.429705610699059715e-01,5.075493721893175048e-01
2.494337595803076402e-01,5.009646534241730675e-01
2.569070412852546559e-01,4.934681675266043288e-01
2.653191893520849276e-01,4.851989546937282016e-01
2.732905412501593356e-01,4.780073638839562045e-01
2.807468144413537980e-01,4.708049789784363170e-01
2.880891496211855918e-01,4.632624481353232460e-01
2.964137462438631854e-01,4.566631615772910324e-01
3.037042861435383378e-01,4.491181134135914799e-01
3.113601614815546537e-01,4.423146206886913734e-01
3.196276337424319158e-01,4.351234369647649092e-01
3.283767384022339697e-01,4.273491058062587888e-01
3.351075009538824756e-01,4.214871011887149077e-01
3.436298543938456351e-01,4.146377849489280010e-01
3.527873903673375278e-01,4.065779230292964619e-01
3.607041365519473297e-01,4.009330344809178825e-01
3.694747250518104487e-01,3.928086703928185819e-01
3.783079588582781150e-01,3.855052137102220611e-01
3.864586462204184225e-01,3.791969555470488529e-01
3.949568325633194266e-01,3.723813404070462352e-01
4.029691279313947216e-01,3.662451868112905351e-01
4.119717996515077085e-01,3.587300517821332413e-01
4.220575826680137976e-01,3.507349511145350096e-01
4.300253381868279212e-01,3.446502824827306632e-01
4.392638879387696371e-01,3.384344955228354990e-01
4.497136455957763124e-01,3.315073250923465387e-01
4.591586395321033409e-01,3.247707502673778390e-01
4.676103789337576200e-01,3.166638248342725226e-01
4.775097161043468930e-01,3.104225812147268226e-01
4.865755369483112380e-01,3.038620781724507003e-01
4.958487807093027722e-01,2.968908408273255861e-01
5.056562436181742948e-01,2.900128528940961181e-01
5.166328687808918740e-01,2.817991984291346452e-01
5.263057527135905911e-01,2.751301090489234880e-01
5.369419925452799669e-01,2.685327842177074875e-01
5.470879185845034520e-01,2.619914172848565315e-01
5.588403496142622107e-01,2.545515334119614614e-01
5.668527268461643898e-01,2.475252974754621194e-01
5.782435800075311771e-01,2.397441763649460211e-01
5.878358068848336115e-01,2.336227702585821353e-01
6.009972641201285493e-01,2.257252581748280251e-01
6.135602825804049587e-01,2.185486365806683373e-01
6.264643329746727440e-01,2.089469910509494655e-01
6.372454231063325869e-01,2.026032202881184463e-01
6.477118410480758870e-01,1.958915514968883331e-01
6.616352217703385108e-01,1.881889211340485590e-01
6.711914258780993237e-01,1.811655605055802198e-01
6.830234679458864200e-01,1.741822309016602122e-01
6.972450408256728460e-01,1.657543554418887122e-01
7.122565804763173469e-01,1.566255925968672302e-01
7.245109536684047891e-01,1.495433606756253475e-01
7.381870522278765057e-01,1.415628128821599940e-01
7.513390411705000993e-01,1.342296717310060561e-01
7.638147656659776130e-01,1.264373245012285762e-01
7.789602982651743224e-01,1.179822755757127251e-01
7.960990811423435121e-01,1.100755992887867268e-01
8.099383535663928768e-01,1.003761183076365138e-01
8.254720555928193315e-01,9.267188920772539973e-02
8.422097813486663087e-01,8.265597649352060539e-02
8.579429379865008976e-01,7.499102838172681806e-02
8.745501048566403091e-01,6.620100183610713729e-02
8.899285089610098343e-01,5.754532081936597487e-02
9.062586289427413400e-01,4.837049846609453585e-02
9.278796334166024007e-01,3.716780620276569774e-02
9.427904350960862878e-01,2.937712815158066704e-02
9.613881052963647589e-01,1.999914811326789638e-02
9.824824282589831315e-01,9.696928716295471345e-03
1.000000000000000000e+00,4.107344508336873323e-04
