f1,f2
7.099459147029937509e-03,9.204862385161547422e-01
1.399542631952101560e-02,8.861350994259175051e-01
1.828346601944229322e-02,8.718628921829950640e-01
2.712832579313521203e-02,8.409447413823228912e-01
3.407856768952134685e-02,8.195757755987167492e-01
4.244910850204960950e-02,8.036224439247520168e-01
5.130360514763897956e-02,7.778549736589305263e-01
5.813877591059457561e-02,7.698128694680487216e-01
6.603579479935342555e-02,7.547745870220645692e-01
7.496771088319865994e-02,7.360272979934356918e-01
8.101869686569766749e-02,7.234106450485832118e-01
8.943066543191120765e-02,7.070110309546377980e-01
9.618141519063788669e-02,6.977705063690055054e-01
1.027325369297898555e-01,6.898632604485698261e-01
1.118687709946874220e-01,6.767867660741433422e-01
1.177381327076151563e-01,6.639769547754613699e-01
1.253695280011365432e-01,6.550778489661188697e-01
1.322571564708752978e-01,6.445332009034336895e-01
1.397551891262687751e-01,6.367599839127087158e-01
1.476267271568622585e-01,6.215093209273867547e-01
1.553543847952096602e-01,6.176149213172550390e-01
1.616282913990538250e-01,6.036276433978436939e-01
1.706809845520354529e-01,6.026832832993607170e-01
1.796122516931278890e-01,5.940720693889338655e-01
1.832982720831391465e-01,5.795869575489704939e-01
1.925411129592244919e-01,5.777398071296637738e-01
2.021360295554768816e-01,5.675576881816273289e-01
2.076259314285172630e-01,5.588888774142949378e-01
2.145200787936710207e-01,5.519959515984017573e-01
2.235064545378052658e-01,5.415479854348848043e-01
2.280147929037793508e-01,5.365006015161727371e-01
2.403935764373572870e-01,5.300707756236864299e-01
2.458986763024807454e-01,5.176704583200494314e-01
2.519541791656874641e-01,5.129771735242163455e-01
2.608067239611697730e-01,5.033384912017769830e-01
2.704663347717813915e-01,4.967690110118714308e-01
2.766135236922240836e-01,4.882020600561232104e-01
2.852715785562465189e-01,4.818157118305840259e-01
2.949970315974631552e-01,4.776745357958789850e-01
3.003297064267964611e-01,4.692475771878271140e-01
3.090517044062736640e-01,4.619045763587867337e-01
3.161034543660830587e-01,4.493361712970823652e-01
3.245309101945012542e-01,4.455842967383909503e-01
3.333529703569443892e-01,4.384199484329328045e-01
3.470305791988933519e-01,4.362991116716503637e-01
3.514225988491450625e-01,4.265778469625972624e-01
3.600535593356397057e-01,4.202314663788575544e-01
3.678094996959869190e-01,4.130007358488931857e-01
3.796459679794367825e-01,4.084728482062978672e-01
3.838634306292094678e-01,3.952978268379201965e-01
3.913711413511309356e-01,3.890274462023335378e-01
4.032117298579490638e-01,3.828392328137604217e-01
4.072516880289563934e-01,3.728535934768279492e-01
4.161488487374724321e-01,3.664793920859434340e-01
4.245204242075873990e-01,3.584225823108986297e-01
4.393772373240836249e-01,3.556725255047312184e-01
4.447218377053633875e-01,3.454958857837460151e-01
4.514583625370081621e-01,3.376675007408739271e-01
4.625078402840644420e-01,3.318878186249344941e-01
4.699113298929281646e-01,3.241629385949177933e-01
4.794781838693796816e-01,3.174276354117111509e-01
4.909796277338723258e-01,3.102274307906806028e-01
4.983565684155045750e-01,3.024976708815751980e-01
5.106261063619230711e-01,2.964900384201882844e-01
5.234347855062462251e-01,2.906501479939498367e-01
5.296391911913100881e-01,2.813451535128898562e-01
5.433970564365520062e-01,2.748887970561164629e-01
5.480158295334185414e-01,2.669958501523144179e-01
5.603283011102735411e-01,2.605653844548133091e-01
5.701596253103243805e-01,2.526563765853978016e-01
5.823527759077523624e-01,2.459364011991788390e-01
5.887656389004845003e-01,2.396237850854106843e-01
6.022012065095312394e-01,2.308877231947086828e-01
6.150402084599303487e-01,2.241648247633231394e-01
6.223158330177642750e-01,2.146843191184829858e-01
6.354542379051351109e-01,2.094622905324897977e-01
6.535000139698841082e-01,2.012934110382709474e-01
6.638741038359085023e-01,1.939220092164908038e-01
6.722783760822355070e-01,1.867102426579044794e-01
6.858881977700687083e-01,1.772980051324635209e-01
7.017247567874195235e-01,1.713901929063995910e-01
7.104238523234608360e-01,1.623672386352174035e-01
7.210204085460445445e-01,1.544530824475583430e-01
7.378566934138149902e-01,1.461452795373386071e-01
7.526114691550939151e-01,1.369487241322502324e-01
7.660240137624617640e-01,1.293950244863606991e-01
7.794741904810787991e-01,1.219006405180925873e-01
7.911116282591239557e-01,1.152893633098387577e-01
8.125722239814885395e-01,1.059141339189969000e-01
8.259495166817498735e-01,9.776496738247064666e-02
8.395089281421973526e-01,8.810129316051384940e-02
8.508061177735503078e-01,8.172556796532455536e-02
8.710719678053122639e-01,7.143296437229483542e-02
8.854685221599227773e-01,6.520782619154361082e-02
9.046300670065636762e-01,5.335130652716649907e-02
9.303081799839283406e-01,4.541451533920815020e-02
9.410327608404746025e-01,3.582451582035458409e-02
9.612416935040835053e-01,2.794158430171753138e-02
9.840037426747497706e-01,1.357763651614117724e-02
1.000000000000000000e+00,4.465277691105880992e-03
